Frequency= 2400 MHz, Cantenna
Theta (radians), dBm
0.000000000000000000e+00,-5.979032897999999818e+01
3.490658503988659095e-02,-6.257501984000000306e+01
6.981317007977318190e-02,-6.485739135999999405e+01
1.047197551196597659e-01,-6.087736129999999690e+01
1.396263401595463638e-01,-5.865575409000000207e+01
1.745329251994329478e-01,-5.893899154999999723e+01
2.094395102393195318e-01,-5.915789413000000252e+01
2.443460952792061436e-01,-5.885300446000000107e+01
2.792526803190927276e-01,-5.882361602999999661e+01
3.141592653589793116e-01,-5.989494324000000347e+01
3.490658503988658956e-01,-6.098072051999999843e+01
3.839724354387524796e-01,-5.784597777999999835e+01
4.188790204786390636e-01,-5.930054092000000310e+01
4.537856055185257032e-01,-5.945396805000000029e+01
4.886921905584122872e-01,-5.879666901000000223e+01
5.235987755982988157e-01,-6.114412689000000256e+01
5.585053606381854552e-01,-6.426268005000000016e+01
5.934119456780720947e-01,-6.154907990000000240e+01
6.283185307179586232e-01,-6.182207869999999872e+01
6.632251157578451517e-01,-6.253292084000000273e+01
6.981317007977317912e-01,-6.160648727000000235e+01
7.330382858376184307e-01,-6.179277419999999665e+01
7.679448708775049592e-01,-6.256499099999999913e+01
8.028514559173914877e-01,-6.401476288000000636e+01
8.377580409572781273e-01,-6.059228896999999847e+01
8.726646259971647668e-01,-6.345492935000000045e+01
9.075712110370514063e-01,-6.277081679999999864e+01
9.424777960769379348e-01,-6.351489258000000149e+01
9.773843811168245743e-01,-6.180002213000000211e+01
1.012290966156711214e+00,-6.234073638999999645e+01
1.047197551196597631e+00,-6.211834716999999983e+01
1.082104136236484271e+00,-6.225829315000000008e+01
1.117010721276370910e+00,-6.364127349999999694e+01
1.151917306316257550e+00,-6.509018706999999893e+01
1.186823891356144189e+00,-6.533451843000000281e+01
1.221730476396030607e+00,-7.253712462999999389e+01
1.256637061435917246e+00,-6.741687774999999760e+01
1.291543646475803886e+00,-7.101376342999999736e+01
1.326450231515690303e+00,-7.500177001999999504e+01
1.361356816555576943e+00,-7.103411101999999744e+01
1.396263401595463582e+00,-6.955261230000000694e+01
1.431169986635350000e+00,-7.209491730000000587e+01
1.466076571675236861e+00,-7.015800475999999719e+01
1.500983156715123279e+00,-7.400212860000000603e+01
1.535889741755009918e+00,-7.123048400999999785e+01
1.570796326794896558e+00,-7.129879760999999405e+01
1.605702911834782975e+00,-7.148602295000000595e+01
1.640609496874669837e+00,-7.159105682000000570e+01
1.675516081914556255e+00,-7.098640441999999950e+01
1.710422666954442894e+00,-7.256451416000000165e+01
1.745329251994329534e+00,-7.095524597000000711e+01
1.780235837034215951e+00,-7.081081389999999942e+01
1.815142422074102813e+00,-6.939226532000000702e+01
1.850049007113989230e+00,-6.722833251999999504e+01
1.884955592153875870e+00,-6.688718414000000223e+01
1.919862177193762509e+00,-6.771586609000000578e+01
1.954768762233649149e+00,-6.591541290000000686e+01
1.989675347273535566e+00,-6.729840088000000264e+01
2.024581932313422428e+00,-6.630998993000000041e+01
2.059488517353308623e+00,-6.681748962000000347e+01
2.094395102393195263e+00,-6.583798980999999628e+01
2.129301687433081902e+00,-6.766182709000000273e+01
2.164208272472968542e+00,-7.025769805999999562e+01
2.199114857512855181e+00,-7.351985931000000107e+01
2.234021442552741821e+00,-7.305084990999999661e+01
2.268928027592628460e+00,-7.255604553000000578e+01
2.303834612632515100e+00,-7.287960051999999678e+01
2.338741197672401295e+00,-7.116382599000000653e+01
2.373647782712288379e+00,-7.425942229999999711e+01
2.408554367752174574e+00,-7.419452667000000190e+01
2.443460952792061214e+00,-7.029818726000000595e+01
2.478367537831947853e+00,-7.381896973000000628e+01
2.513274122871834493e+00,-7.030150604000000669e+01
2.548180707911721132e+00,-7.209020995999999570e+01
2.583087292951607772e+00,-7.145870209000000273e+01
2.617993877991494411e+00,-6.985025023999999405e+01
2.652900463031380607e+00,-7.043989562999999521e+01
2.687807048071267690e+00,-6.862971496999999488e+01
2.722713633111153886e+00,-6.887429047000000537e+01
2.757620218151040525e+00,-6.872215271000000314e+01
2.792526803190927165e+00,-6.958301543999999694e+01
2.827433388230813804e+00,-6.996183777000000248e+01
2.862339973270700000e+00,-6.969111632999999983e+01
2.897246558310587083e+00,-6.981312561000000017e+01
2.932153143350473723e+00,-6.948501586999999802e+01
2.967059728390360362e+00,-7.101223754999999471e+01
3.001966313430246558e+00,-6.957465363000000025e+01
3.036872898470133197e+00,-7.077933502000000487e+01
3.071779483510019837e+00,-7.095081328999999926e+01
3.106686068549906921e+00,-7.269028473000000190e+01
3.141592653589793116e+00,-7.160548400999999785e+01
3.176499238629679756e+00,-7.389492035000000669e+01
3.211405823669565951e+00,-7.523902130000000454e+01
3.246312408709452590e+00,-7.679846191000000033e+01
3.281218993749339674e+00,-7.462114716000000669e+01
3.316125578789226314e+00,-7.433432770000000289e+01
3.351032163829112509e+00,-7.895253753999999446e+01
3.385938748868999149e+00,-7.799693297999999686e+01
3.420845333908885788e+00,-7.861951446999999860e+01
3.455751918948772872e+00,-7.707866669000000570e+01
3.490658503988659067e+00,-7.588423156999999719e+01
3.525565089028545707e+00,-7.460379790999999727e+01
3.560471674068431902e+00,-7.194291687000000479e+01
3.595378259108318542e+00,-7.238304137999999455e+01
3.630284844148205625e+00,-7.213867188000000397e+01
3.665191429188092265e+00,-7.141022490999999661e+01
3.700098014227978460e+00,-7.264095306000000107e+01
3.735004599267865100e+00,-7.169580077999999901e+01
3.769911184307751739e+00,-7.141286469000000636e+01
3.804817769347637935e+00,-7.067212677000000554e+01
3.839724354387525018e+00,-7.168258667000000628e+01
3.874630939427411658e+00,-7.349044800000000066e+01
3.909537524467298297e+00,-7.388580321999999967e+01
3.944444109507184493e+00,-7.398463440000000446e+01
3.979350694547071132e+00,-7.440269469999999785e+01
4.014257279586957772e+00,-7.195953369000000066e+01
4.049163864626844855e+00,-7.368465424000000041e+01
4.084070449666731051e+00,-7.540457915999999727e+01
4.118977034706617246e+00,-7.581011963000000264e+01
4.153883619746504330e+00,-7.706312561000000017e+01
4.188790204786390525e+00,-7.549322510000000364e+01
4.223696789826277609e+00,-7.509770202999999356e+01
4.258603374866163804e+00,-7.429611205999999868e+01
4.293509959906050888e+00,-7.356826782000000264e+01
4.328416544945937083e+00,-7.353340149000000281e+01
4.363323129985823279e+00,-7.220590973000000190e+01
4.398229715025710362e+00,-7.141168213000000264e+01
4.433136300065597446e+00,-6.949356842000000256e+01
4.468042885105483641e+00,-7.152526093000000174e+01
4.502949470145369837e+00,-7.138433075000000372e+01
4.537856055185256920e+00,-7.064640808000000050e+01
4.572762640225144004e+00,-7.046730804000000603e+01
4.607669225265030200e+00,-6.965911864999999636e+01
4.642575810304916395e+00,-6.931029510000000471e+01
4.677482395344802590e+00,-6.916795349000000215e+01
4.712388980384689674e+00,-6.784589386000000388e+01
4.747295565424576758e+00,-6.711764526000000330e+01
4.782202150464462953e+00,-6.645662688999999546e+01
4.817108735504349148e+00,-6.565338135000000364e+01
4.852015320544236232e+00,-6.494792175000000611e+01
4.886921905584122428e+00,-6.404817963000000702e+01
4.921828490624008623e+00,-6.413842010000000471e+01
4.956735075663895707e+00,-6.285248184000000293e+01
4.991641660703782790e+00,-6.315179824999999880e+01
5.026548245743668986e+00,-6.006171798999999822e+01
5.061454830783555181e+00,-6.279146193999999781e+01
5.096361415823442265e+00,-6.154370499000000194e+01
5.131268000863329348e+00,-6.181458281999999826e+01
5.166174585903215544e+00,-6.070075606999999707e+01
5.201081170943101739e+00,-6.034515380999999934e+01
5.235987755982988823e+00,-5.947303009000000174e+01
5.270894341022875018e+00,-5.914854813000000178e+01
5.305800926062761214e+00,-5.798408890000000326e+01
5.340707511102648297e+00,-5.810488509999999707e+01
5.375614096142535381e+00,-5.709345626999999723e+01
5.410520681182421576e+00,-5.654796600000000240e+01
5.445427266222307772e+00,-5.614921569999999917e+01
5.480333851262193967e+00,-5.586866760000000198e+01
5.515240436302081051e+00,-5.567012787000000174e+01
5.550147021341968134e+00,-5.545512389999999669e+01
5.585053606381854330e+00,-5.539751815999999707e+01
5.619960191421740525e+00,-5.506621933000000269e+01
5.654866776461627609e+00,-5.501535796999999661e+01
5.689773361501513804e+00,-5.482957076999999657e+01
5.724679946541400000e+00,-5.478504944000000165e+01
5.759586531581287083e+00,-5.451933669999999665e+01
5.794493116621174167e+00,-5.458068847999999917e+01
5.829399701661061250e+00,-5.456092453000000120e+01
5.864306286700947446e+00,-5.472058867999999876e+01
5.899212871740833641e+00,-5.483807755000000128e+01
5.934119456780720725e+00,-5.495353317000000004e+01
5.969026041820606920e+00,-5.516268157999999744e+01
6.003932626860493116e+00,-5.545415878000000021e+01
6.038839211900380199e+00,-5.564896774000000335e+01
6.073745796940266395e+00,-5.597013473999999889e+01
6.108652381980152590e+00,-5.646549988000000297e+01
6.143558967020039674e+00,-5.678452301000000091e+01
6.178465552059926758e+00,-5.719272613999999777e+01
6.213372137099813841e+00,-5.803990555000000029e+01
6.248278722139700037e+00,-5.837586212000000074e+01
